Racer,Position,Kart #,Gap
Justin Royster,1,2,-
Federico Caimi,2,14,20:000
David Quednau,3,1,22:000
Sijia Wang,4,13,23:000
Mark Golitko,5,3,31:000
Theodore Birks,6,4,40:000
Chuck Raymond,7,7,40:500
Ian Plasch,8,9,60:000
Trevor Raymond,9,55,80:000
