Racer,Kart #,Time
JCLARK18TEAMAR...,10,30:107
STRIKER,18,30:754
Federico,14,30:768
Andrius,18,30:987
David Quednau,14,31:412
Marty McFly,8,31:834
Aggy,1,31:843
Daniel Nikonchik,17,32:034
M Golitko,9,32:431
Rob,21,32:485
The Stig,10,32:626
Neil,10,32:757
Number 1,1,33:002
Joey T,21,33:274
SHARMA,21,35:323
