Racer,Position,Kart #,Gap
Justin Royster,1,5,0:000
Jose Torres,2,1,19:172
Meesa Maeng,3,33,20:561
Adam Bishop,4,11,30:000
David Quednau,5,9,30:500
Federico Caimi,6,7,51:000
Victor Birza,7,55,90:000
Mark Golitko,8,8,119:000
