Racer,Position,Kart #,Gap
Gus Morzel,1,11,-
Justin Royster,2,8,0:050
Michael Wu,3,12,5:000
Eddie Pang,4,7,8:000
Theodore Birks,5,9,12:000
David Quednau,6,2,26:000
Meesa Maeng,7,11,-
Ian Plasch,8,9,1:000
Victor Birza,9,12,26:000
Mark Golitko,10,8,27:000
Jose Torres,11,2,52:000
Alex Godofsky,12,11,-
Brad Gambit,13,8,1:482
Marie Ankenman,14,2,28:000
Kyler Juresic,15,9,29:000
Joe Morganti,16,5,100:000
