Racer,Position,Kart #,Gap
Federico Caimi,1,22,-
Abhay Saxena,2,21,-
Greg Voeks,3,0,-
Jorge Sosa,4,0,-
Mike Bzowski,5,0,-
Jason Miller,6,0,-
Tomasz Oliszewicz,7,30,-
Sergey Yurin,8,0,-
Theodore Birks,9,0,-
