Racer,Position,Kart #,Gap
Victor Birza,1,5,-
Meesa Maeng,2,12,03:438
Justin Royster,3,1,06:895
Federico Caimi,4,34,22:000
Michael Wu,1,7,25:000
Sijia Wang,6,8,42:000
David Quednau,7,5,-
Theodore Birks,8,12,26:558
Nathan de Rover,9,1,33:000
Kui Wen,10,9,120:000
Gaia Caimi,11,8,180:000
