Racer,Kart #,Time
Federico,0,22:630
RARChevette,0,22:927
Justin,0,23:177
DON FULANO,0,23:477
Michael Wu,0,23:605
STRIKER,0,23:611
Vic-a-B,0,23:855
Monkey,0,23:927
The Stig,0,24:004
DRIUS,0,24:029
meesa,0,24:214
Joey T,0,24:465
Dont Poke ME!?...,0,24:600
James Moeller,0,24:993
Jim Bob Dupree,0,25:539
