Racer,Position,Kart #,Gap
Federico Caimi,1,10,-
Mark Golitko,2,5,6:630
Abhay Saxena,3,7,6:848
Justin Royster,4,6,8:065
Kyler,5,9,27:000
Jordan Farber,6,2,37:000
Joe Morganti,7,8,100:000
Ian Plasch,8,1,101:000
David Quednau,8,4,-
Matas Rasikas,9,9,6:864
Brad Gambit,10,6,9:844
Andrius Petraitis,11,2,11:544
Brad Bauer,12,7,27:000
John D Said,13,8,40:000
Allen Twillie,14,5,58:000
