Racer,Position,Kart #,Gap
Federico Caimi,1,1,-
Meesa Maeng,2,7,2:387
Justin Royster,3,2,4:321
Rob Will,4,5,8:065
Juan Pablo Garciabueno,5,12,8:284
Theodore Birks,6,15,10:405
David Quednau,7,11,26:000
Andrius Petraitis,8,4,-
Joe Morganti,9,15,8:502
Jason Camlic,10,1,26:000
Matthew Thomas,11,7,26:100
Thomas,12,5,52:000
Michael Summers,13,11,52:100
