Racer,Kart #,Time
Chris_B,13,30:852
David Quednau,11,31:725
NISMO,22,31:954
Federico,17,31:972
meesa,16,32:048
Justin,10,32:214
Marek,1,32:316
Dan Rowley,9,32:476
STRIKER,4,32:645
Cool Guy,8,32:853
mack,13,33:782
CaptainFranz,18,34:095
Monsieur Prost,12,34:448
Bijal,12,34:923
RAVI0087,1,36:634
Lisa Brown,22,36:843
