Racer,Position,Kart #,Time
Federico,1,6,21:658
Michael Wu,2,30,21:847
Justin,3,1,22:073
Rob,4,18,22:103
Monkey,5,12,22:133
meesa,6,8,22:285
DRIUS,7,19,22:288
Bill Swerski,8,13,22:459
STRIKER,9,11,22:611
Vic-a-B,10,21,23:054
James Moeller,11,9,23:425
The Stig,12,26,25:110
