Racer,Position,Kart #,Time
Monkey,1,1,23:964
Justin,2,18,24:000
Daniel Nikonchik,3,10,24:098
meesa,4,8,24:268
The Stig,5,19,24:476
Joey T,6,9,24:836
Adam,7,15,25:747
