Racer,Position,Kart #,Time
JCLARK18TEAMAR...,1,10,30:107
Federico,2,14,30:768
Andrius,3,18,30:987
STRIKER,4,8,31:816
Aggy,5,1,31:843
M Golitko,6,9,32:431
SHARMA,7,21,35:323
Marty McFly,8,17,37:694
