Racer,Position,Kart #,Time
Federico,1,0,22:847
STRIKER,2,0,23:611
DON FULANO,3,0,23:749
Vic-a-B,4,0,23:936
Monkey,5,0,24:188
Joey T,6,0,24:465
James Moeller,7,0,24:993
