Racer,Position,Kart #,Time
David Quednau,1,9,30:459
Lovero,2,11,30:990
Federico,3,12,31:18
Marcello Guarro,4,22,31:289
STRIKER,5,21,31:309
Amanda Andrade,6,1,33:274
RacerX,7,18,33:415
