Racer,Position,Kart #,Time
Justin,1,21,32:605
David Quednau,2,22,33:755
Super Gary,3,18,33:864
Federico,4,16,34:023
kelz,5,11,34:796
KUSHY,6,7,35:110
meesa,7,12,35:126
Ted,8,14,35:905
Alberto Gnemmi,9,4,36:457
Chris,10,8,36:579
JakeTracy,11,6,37:813
SuperMario,12,13,37:957
