Racer,Position,Kart #,Time
Chris_B,1,13,30:855
Federico,2,17,31:972
meesa,3,16,32:48
NISMO,4,22,32:196
Justin,5,10,32:589
Dan Rowley,6,9,33:290
Cool Guy,7,8,33:997
STRIKER,8,4,34:479
Bijal,9,12,34:923
RAVI0087,10,1,36:634
Marek,11,20,36:853
CaptainFranz,12,18,36:864
