Racer,Position,Kart #,Time
STRIKER,1,30,22:417
Monkey,2,19,22:469
Alec,3,12,22:583
The Stig,4,15,22:862
DRIUS,5,9,23:123
Adam,6,8,23:563
Lauren Cichock,7,6,26:513
