Racer,Position,Kart #,Time
Bobdobalena,1,20,31:860
Federico,2,21,32:370
Cpt. Chaos,3,12,32:393
KEN,4,3,33:766
Todd G,5,4,33:939
Ted,6,19,34:695
Anders,7,18,34:995
