Racer,Position,Kart #,Time
Justin,1,14,30:373
meesa,2,8,30:426
Nate,3,11,30:524
THEREAL2CHAINZ,4,22,35:132
Anthony Ristich,5,21,35:406
BASSHEAD,6,19,36:044
jDaWg,7,12,38:241
