Racer,Position,Kart #,Time
Alec,1,12,22:357
STRIKER,2,30,22:533
Monkey,3,19,22:649
DRIUS,4,9,22:832
The Stig,5,15,23:266
Adam,6,8,23:811
Lauren Cichock,7,6,25:957
