Racer,Position,Kart #,Time
Monkey,1,10,22:704
DRIUS,2,6,22:825
STRIKER,3,12,22:927
Adam,4,19,23:265
The Stig,5,15,23:298
Alec,6,21,23:569
Lauren Cichock,7,8,29:764
