Racer,Position,Kart #,Time
meesa,1,14,33:419
Federico,2,3,33:534
Justin,3,1,34:132
DON FULANO,4,20,34:140
Angelo,5,9,34:203
ben dover,6,22,35:188
Robrx78,7,17,35:920
SpeedRacer,8,7,36:068
Ted,9,11,36:196
Alberto Gnemmi,10,10,36:372
Stig,11,12,37:662
Vero,12,4,39:583
