Racer,Position,Kart #,Time
RARChevette,1,0,23:364
Justin,2,0,23:784
meesa,3,0,24:214
Michael Wu,4,0,24:326
The Stig,5,0,24:556
Dont Poke ME!?...,6,0,25:715
Jim Bob Dupree,7,0,26:600
