Racer,Position,Kart #,Time
Mark-Tami,1,13,30:551
Federico,2,20,31:781
Andrius,3,9,32:684
Justin,4,1,33:059
meesa,5,15,33:070
KEN,6,10,33:116
David Quednau,7,18,33:707
STRIKER,8,22,33:847
fan-of-f1,9,16,33:895
Happy Monkey,10,8,34:237
TECHNO-D,11,2,34:823
